id,lang,sentence
6733426,eng,Tom wasn't able to change anything.
256835,eng,I saw the sights of Kyoto during my vacation.
1404674,eng,"And where are the aliens, the flying saucers, and the laser guns?"
4833334,eng,Is the water in the Black Sea actually black?
7241028,eng,I know a lot of people who don't eat meat.
7226517,eng,I don't think that Tom knows where Mary went to school.
7111494,eng,I don't think I'll kiss Tom anymore.
7156973,eng,Tom might be in Australia next Monday.
2990539,eng,I'll miss you while you're gone.
7333575,eng,I was just teasing her.
300664,eng,He is the man you met the other day.
7494211,eng,Where did she put the television guide?
23250,eng,We communicated with each other by gesture.
6428604,eng,Mary lost all of her money.
1254993,eng,When does your father leave his office?
6078589,eng,Let's go visit Tom tomorrow.
6264538,eng,Tom should consider doing that.
387373,eng,Computers are complicated machines.
6810066,eng,Sami has fond memories of that pizza.
5610646,eng,I don't think Tom heard me.
5360691,eng,Tom got up before dawn.
3426262,eng,Tom went to work early.
7334216,eng,Layla is still girly.
6126640,eng,Tom will do that in the morning.
6974541,eng,Tom and Mary sat on a hillside and watched the fireworks together.
6246266,eng,I don't often let Tom drive my car.
35838,eng,"Come on, Bill."
2268395,eng,The monkey is in the cage.
7130997,eng,Tom is going to be running the show.
5201480,eng,Will this nightmare ever end?
6543988,eng,Layla overheard Sami talking on the phone with his mistress.
5924914,eng,She should be in jail.
6132724,eng,Sami and Layla spent a volatile day of arguing.
1025483,eng,Tom has a house not too far from here.
2245648,eng,I can walk.
57418,eng,You can't find this article everywhere.
1719229,eng,Have you ever memorized the national anthem?
7402673,eng,She told me she was diabetic.
6251142,eng,I need to tell Tom what to do.
7229032,eng,I don't think that Tom was amused by what was going on.
6651745,eng,Tom said that he was in no hurry to go home.
1839628,eng,Where can I reach you?
48085,eng,What does this word mean?
7518665,eng,Tom was too shy to talk to anyone.
2430258,eng,We don't go to school on Shabbat.
3916655,eng,I've heard from them.
6666235,eng,The cake that Tom made didn't taste good.
7250202,eng,Sami knows he has a meeting today.
3312923,eng,We got your message.
