sentence,lang,predicted
It was easy for you to find a taxi.,eng,eng
It's not as easy as Tom and Mary think.,eng,spa
No disparen antes de que dé la orden.,spa,spa
I think I've changed my mind.,eng,spa
Está empeorando cada vez más.,spa,spa
Sami talked to his mom after school.,eng,eng
Mary told me that she likes swimming.,eng,spa
Ocho millones separan a Alexis Sánchez del Barcelona.,spa,spa
Tom posiblemente tenga cáncer.,spa,spa
Combate tus temores.,spa,spa
Each student uses their own computer.,eng,spa
Tom noticed that not all the kids were paying attention.,eng,spa
"La pobreza no es un accidente. Como la esclavitud y el apartheid, es un producto del hombre y puede ser erradicado por las acciones de los seres humanos.",spa,spa
Ese escritor ahora está trabajando en su nueva novela.,spa,spa
El acero es una aleación de hierro y carbono.,spa,eng
I thought I'd answered all your questions.,eng,spa
Tom said that he needed to help Mary do that.,eng,spa
I want what's best for him.,eng,eng
It'll be impossible for us to do that.,eng,spa
Bush piensa que fue enviado por Dios para establecer la justicia en la Tierra.,spa,spa
El accidente ocurrió en esta intersección.,spa,spa
Layla fought back.,eng,spa
Do you know what it means when a man presents a ring to a woman?,eng,spa
Cathy dejó de recoger flores.,spa,spa
Tom has taught French for thirty years.,eng,spa
Sami was the last to leave the store.,eng,spa
El avión despegó temprano.,spa,spa
I don't want her to give up.,eng,eng
Tom ditched the murder weapon.,eng,spa
Context helps to define what is really meant.,eng,spa
Tom was obviously sorry.,eng,spa
She told me she was alone.,eng,spa
Tomás nunca trabaja los domingos.,spa,spa
Los conejos tienen orejas grandes.,spa,spa
I'm not leaving Tom and Mary here by themselves.,eng,eng
She said she felt terrific.,eng,eng
Necesito más frazadas.,spa,spa
The committee adjourned to another hall.,eng,eng
I haven't kissed Mary yet.,eng,spa
I went to school.,eng,eng
I was the one that was right all along.,eng,spa
She said she had a meeting to go to.,eng,eng
I borrowed money from her.,eng,spa
Queremos la paz para todo el mundo.,spa,spa
Ese no es el resultado que ella esperaba.,spa,spa
La vida es muy corta.,spa,spa
La habitación de Tom está lista.,spa,spa
Sus dos padres son semi-analfabetos.,spa,spa
My girlfriend is crying.,eng,spa
Puede ser grandioso.,spa,eng
"When Tom and Mary first told me that, I didn't believe them.",eng,eng
The eagle had to be fed by hand.,eng,spa
Me llevó varias horas para escribirlo.,spa,eng
Eso es una posibilidad espantosa.,spa,spa
He made no progress in his speaking ability.,eng,spa
Tom wouldn't do that that way.,eng,spa
I wish it would rain.,eng,spa
Tom has hurt his leg.,eng,spa
¿Es éste el autobús para Oxford?,spa,spa
He passed away yesterday.,eng,spa
Yo no lo pensaría.,spa,spa
He comes here twice a week.,eng,spa
Ella no puede vivir sin él.,spa,spa
I can no longer remain silent.,eng,spa
I thought that Tom had agreed to do that.,eng,spa
Can you believe it? We're in China!,eng,eng
It's a complicated language.,eng,spa
Las conversaciones para el cese al fuego se iniciaron en Julio de 1951.,spa,eng
Tom is a secretive guy.,eng,spa
I know Tom could get Mary to do that.,eng,spa
Le pedí que empezara de una vez.,spa,eng
Tom grew up near Boston.,eng,spa
¿Dónde hay que deshacernos de los desechos?,spa,eng
Mi cuarto tiene una sola ventana.,spa,spa
Necesito saber más acerca de Tom.,spa,eng
The door will be open.,eng,spa
"Una vez citaron a Cristóbal Colón al decir que los piratas eran demasiado ""ingenuos"". Él creó el Triángulo de las Bermudas más tarde ese mismo año.",spa,eng
Los microbios pueden provocar enfermedades.,spa,spa
¡Cepíllate los dientes!,spa,eng
I sense that something is wrong.,eng,spa
Tom no conoce las reglas.,spa,spa
El gobierno de Estados Unidos siempre ha considerado a Inglaterra como su mascota.,spa,spa
Hazlo con la mayor brevedad.,spa,spa
"La sala era tan grande como para contener a más de 1,000 personas.",spa,spa
Who is the person sitting next to Tom?,eng,eng
No tenemos un perro.,spa,spa
Somos conscientes del problema.,spa,spa
Es muy lamentable que haya muerto tan joven.,spa,spa
Tom and Mary aren't what they seem.,eng,eng
Tom quiere que yo planee la boda.,spa,spa
I guess it's decided.,eng,spa
El teléfono está con problemas. Casi no te escucho.,spa,eng
Both Tom and Mary look very uncomfortable.,eng,spa
Tengo un trabajo muy divertido.,spa,eng
Casi todos los estudiantes se creyeron el rumor.,spa,spa
Este teléfono tiene una pantalla multitáctil.,spa,eng
Tom es mi padre biológico.,spa,eng
¿Acaso él trabajaba para los comunistas? Supongo que jamás lo sabremos.,spa,spa
Tom told Mary that John was a good friend of his.,eng,eng
El problema es que no tenemos bastante dinero.,spa,spa
Pagó el préstamo con intereses.,spa,spa
Tom can't be reasoned with.,eng,spa
Don't let anyone see you.,eng,spa
Acá usamos el libro de Lehninger para estudiar bioquímica.,spa,eng
We really shouldn't have done that.,eng,spa
"You aren't the only one here from Australia, are you?",eng,spa
Tom is close to thirty.,eng,spa
El criminal no es Bob sino su hermano gemelo.,spa,eng
¿Qué medio de transporte tomaremos?,spa,eng
The two of them carried Fadil's body.,eng,spa
Do you still play golf?,eng,eng
¿Cuando terminó de escribir el informe?,spa,eng
"In American movies, the black guy always dies first.",eng,spa
Let Tom know what you plan to do.,eng,spa
I didn't know that Tom knew who did that to Mary.,eng,spa
La bomba fue desactivada justo minutos antes de que hubiera explotado.,spa,spa
Párate cuanto quieras.,spa,spa
Se escuchó una vocecilla aguda como una campanita.,spa,spa
They closed their eyes and fell asleep.,eng,eng
Have you ever been in love?,eng,eng
¿Te gustaría participar en este arriesgado experimento?,spa,eng
Tom says he doesn't think Mary really wanted to do that.,eng,spa
La carencia afectiva puede llevar a una persona a cometer suicidio.,spa,eng
Las eventuales lluvias de la región dejan sin techo a miles de familias todos los años.,spa,spa
You look like you've got ants in your pants.,eng,spa
Encontré la ciudad en el mapa.,spa,eng
He saved money for the trip.,eng,eng
Give me your book.,eng,spa
Confesó su delito.,spa,eng
I feel fortunate to have known you.,eng,spa
"Turn off the light, please.",eng,spa
Mary told Tom she could eat anything.,eng,spa
Why's it our job?,eng,eng
¿Tiene usted algo para el resfriado?,spa,eng
Nadie la creyó.,spa,spa
Sé cariñoso.,spa,eng
Su canoa se volcó al recibir una gran ola.,spa,spa
Creo que me iré a dormir.,spa,spa
I saw the sights of Kyoto during my vacation.,eng,spa
Sami was busy preparing his speech.,eng,eng
This language sounds beautiful.,eng,spa
Tom lo averiguará tarde o temprano.,spa,spa
Creo que vas a necesitar esto.,spa,eng
Tom se rehúsa a recibir ordenes de Mary.,spa,spa
Encontramos al perro abandonado y decidimos quedarnos con él.,spa,spa
I like working with her.,eng,spa
Mi madre cultiva flores en su jardín.,spa,spa
Detesto la química.,spa,eng
No tengo nada que decir sobre eso.,spa,eng
It's easy to cut cheese with a knife.,eng,eng
El mendigo sabía lo que significaba eso.,spa,eng
We must address the low standing of America test scores amongst industrialized nations in math and science.,eng,eng
Me alegro de que estés aquí.,spa,spa
I forgot to tell Tom to take the cookies out of the oven.,eng,spa
I got stabbed two years ago.,eng,eng
¿Queréis ir al teatro esta tarde?,spa,spa
I don't think I'd ever want to do that by myself.,eng,eng
I found a tree frog on the wall in my bathroom.,eng,eng
El tema principal del libro es la Revolución Americana.,spa,spa
"Dice que hablo muy rápido, pero es así que hablamos en portugués.",spa,spa
The hall was decorated with Japanese paintings.,eng,spa
Tenemos que animar a la gente a unirse a la campaña y a trabajar con nosotros.,spa,spa
Mary says she thinks it's not possible to do that.,eng,spa
El dibujo es malo.,spa,eng
Tom really thought I had to do that.,eng,spa
Tom repairs his bicycle.,eng,eng
Juan va a votar por primera vez.,spa,eng
El cielo entero se iluminó y hubo una explosión.,spa,spa
He thinks old newspapers are still useful.,eng,spa
Tom didn't think Mary was ready.,eng,spa
¿Quién es el hombre que hablaba con vos?,spa,eng
Why do you care what happens?,eng,spa
Marie prepared her own meal.,eng,spa
Can you leave it with me till this afternoon?,eng,eng
Eres estricto.,spa,eng
El visitante no era otro que el director.,spa,spa
No sé por qué la reunión fue pospuesta.,spa,spa
Su forma de pensar es muy infantil.,spa,eng
Tom and Mary didn't believe what they heard.,eng,spa
"En esta imagen hay cuatro personas: mi padre, mi madre, mi hermano y mi hermana.",spa,spa
Debemos hacer el cambio.,spa,eng
I thought that Tom wasn't making any sense.,eng,spa
Un caballo pasó por mi casa.,spa,spa
Él es mejor que yo para las matemáticas.,spa,spa
I don't think that it would be wise to do that.,eng,spa
I am not coming because I am ill.,eng,eng
They aren't worried about their grades.,eng,spa
Las chicas están locas.,spa,spa
Llevabas a tu hijo en la espalda.,spa,spa
No tiene ganas.,spa,spa
¿Cuándo es la próxima salida?,spa,spa
Este libro es para estudiantes cuya lengua nativa no sea japonés.,spa,spa
Es mucho más fácil hablar que actuar.,spa,spa
Mi familia también vive aquí.,spa,spa
Esto tiene que ocurrir.,spa,spa
Me aporreé los nudillos cuando le pegué al ladrón en la cara.,spa,spa
Mary used a flat iron to straighten her hair.,eng,spa
Tom told me he went to Boston.,eng,spa
That was close.,eng,eng
I need some hangers.,eng,spa
I've been looking for my tripod.,eng,spa
I will shoot him.,eng,eng
I didn't really care what happened.,eng,spa
It would be fantastic if you could do that for me.,eng,eng
Mary still has a lot of things she has to buy.,eng,spa
He didn't show any remorse for his actions.,eng,spa
"Fear not this famine – 'tis an empty scare; / the Fates will find a way, and Phoebus hear thy prayer.",eng,spa
El escándalo casi le arruinó la carrera.,spa,spa
I don't speak to Tom.,eng,eng
¿Extrañas a Tom?,spa,eng
Will you permit us to leave now?,eng,spa
Tom is usually busier than I am.,eng,eng
¿Quieres que te hagamos otra foto al lado del riachuelo? -Le dijo con segundas.,spa,spa
I know Tom is lucky.,eng,spa
I know Tom is a very good clarinetist.,eng,spa
Había un alemán en la fiesta que no sabía una palabra de portugués.,spa,spa
Does Tom still like jazz?,eng,eng
Tom said that Mary shouldn't have bought what she bought.,eng,spa
This is the rule of the game.,eng,eng
One step forward is a step forward for civilization.,eng,spa
We have gained weight.,eng,spa
Esto es un harpa.,spa,spa
No entiendo el significado de esto.,spa,eng
She says she's done nothing wrong.,eng,spa
Everyone's got a reason to celebrate the beginning of the new year. They all survived the old one.,eng,spa
Eso es injusto.,spa,eng
Sami flipped the mattress.,eng,spa
Tom's father is very rich.,eng,eng
Tengo que ver a Tom.,spa,eng
What has Tom been up to?,eng,eng
He oído que nos iban a subir el alquiler.,spa,spa
Sus ojos estaban llenos de lágrimas.,spa,spa
La papa estaba tan caliente que quemaba la boca.,spa,eng
Donde tú digas.,spa,spa
The crew had to abandon the sinking ship.,eng,eng
Tom doesn't know the half of it.,eng,eng
Mary has an extensive collection of yuri anime.,eng,eng
Nobody's right all the time.,eng,eng
Tom and Mary are waiting for that to happen again.,eng,spa
Quiero que vaya allí.,spa,spa
"En el verano, la temperatura varía entre treinta y cuarenta grados Celsius.",spa,spa
I think Tom won't be worried.,eng,spa
No conozco a todos los estudiantes.,spa,spa
Te veré el próximo mes.,spa,spa
Tracé un dibujo a mano alzada.,spa,spa
