sentence,lang,predicted
Necesito un auto nuevo.,spa,spa
¿Para qué estudias inglés?,spa,eng
Deberías asegurarte de que Tom no haga eso hoy.,spa,eng
Tom said that Mary wasn't enjoying herself.,eng,eng
How could that possibly help people?,eng,spa
This is a bad thing.,eng,eng
"She o'er Ascanius rains a soft repose, / and gently bears him to Idalia's height, / where breathing marjoram around him throws / sweet shade, and odorous flowers his slumbering limbs compose.",eng,eng
¿Por qué te escondes de nosotras?,spa,eng
Necesito un mousepad.,spa,spa
Tom said that Mary is probably still outside.,eng,spa
Se te olvidó borrar tu nombre.,spa,eng
Tom sure talks a lot.,eng,spa
Don't sign anything.,eng,eng
Espero estar de vuelta para las dos y media.,spa,spa
"Según mi opinión, hay dos razones.",spa,eng
Yo soy Alicia. Él es mi amigo Pedro.,spa,eng
"Si lo invitaste, a lo mejor venga.",spa,eng
Mucha gente necesita nuestra ayuda.,spa,eng
I want to live a happy life.,eng,eng
No hay nada mejor que una cerveza fría en un día caluroso.,spa,eng
Él no sabe tocar la guitarra.,spa,spa
I had the same problems.,eng,eng
He advised me to see a lawyer. This I did at once.,eng,spa
He is really competitive when it comes to football.,eng,eng
"Tom se puede acordar de los acordes de la canción, pero no de toda la letra.",spa,spa
Liz murió hace ocho años.,spa,eng
Existe la posibilidad de que él sea un gran líder en un futuro.,spa,eng
Ella tiene unos 2.000 libros.,spa,eng
La obra me salió hasta barata. Yo creía que iba a tener que gastarme mucho más.,spa,eng
Tom is the one who told me how to do that.,eng,spa
¿Querés comer?,spa,spa
I appreciate your insights.,eng,eng
Soy un ciudadano estadounidense.,spa,spa
I hope I wasn't boring.,eng,eng
Todavía tengo muchas preguntas que quiero hacerte sobre tu relación con Tom.,spa,eng
She has a funny face.,eng,eng
I didn't tell Tom I grew up in Australia.,eng,spa
I'll see what else we need to bring.,eng,eng
¿Me pones medio kilo de manzanas?,spa,spa
Tom got Mary to do that for him.,eng,eng
Do you think Mary wears smart clothes?,eng,eng
"Cuanto más comas, más gordo te pondrás.",spa,eng
Tom and Mary used to be good friends.,eng,spa
No creo que ella lo entendería.,spa,spa
I thought you said you'd help us do that.,eng,spa
"Las colonias son un anacronismo en el siglo XXI, donde hay solo 16 casos en todo el mundo, diez de los cuales son protagonizados por el Reino Unido.",spa,spa
Ella entiende la música.,spa,eng
Su auto le costó más de diez mil dólares.,spa,eng
I don't think that a native speaker would ever say it that way.,eng,eng
What is your greatest strength?,eng,spa
Children go back to school in autumn.,eng,spa
"No es que no me guste divertirme, sino que no tengo tiempo para divertirme.",spa,spa
No mates al ganso de los huevos de oro.,spa,eng
¿Usted aquí es profesor o alumno?,spa,spa
"Heavy-duty vehicles (commercial trucks, vans, and buses) are currently the second largest source of greenhouse gas pollution within the transportation sector.",eng,eng
Ella se casó sin que sus padres supieran.,spa,spa
Doloroso es que comencemos a vivir cuando morimos.,spa,eng
Strive to simplify everything.,eng,eng
Sami was having a convo with Layla.,eng,eng
"When Tom and Mary first told me that, I didn't believe them.",eng,eng
I hope you'll be comfortable.,eng,eng
I don't know what else I can do.,eng,eng
Tom said that I shouldn't tell Mary to do that.,eng,spa
Ella nos ha preparado una comida maravillosa.,spa,eng
